"site","habitat","treatment","year","sampling_unit","author_code","Riqueza","Shannon","Simpson","Abundancia"
"toledo","forest","control",2021,"pf1_Q-C-Bosque T6 pf1 22-27.vi-21","Q-C-Bosque T6 pf1 22-27.vi-21",6,5.15365595716911,4.59183673469388,15
"toledo","forest","control",2021,"pf1_Q-C-Bosque T8 pf1 22-27.vi-21","Q-C-Bosque T8 pf1 22-27.vi-21",6,3.19956249535924,2.59712230215827,38
"toledo","forest","control",2021,"pf2_Q-C-Bosque T6 pf2 22-27.vi-21","Q-C-Bosque T6 pf2 22-27.vi-21",5,3.66881871053018,3.11538461538462,18
"toledo","forest","control",2021,"pf2_Q-C-Bosque T8 pf2 22-27.vi-21","Q-C-Bosque T8 pf2 22-27.vi-21",6,4.92056930975062,4.26086956521739,14
"toledo","forest","control",2021,"pf3_Q-C-Bosque T6 pf3 22-27.vi-21","Q-C-Bosque T6 pf3 22-27.vi-21",7,5.52604724796058,4.59183673469388,15
"toledo","forest","control",2021,"pf3_Q-C-Bosque T8 pf3 22-27.vi-21","Q-C-Bosque T8 pf3 22-27.vi-21",5,3.23880552621024,2.4390243902439,20
"toledo","forest","control",2022,"pf1_Q22-C bosque T6 pf1 22-27/06/22","Q22-C bosque T6 pf1 22-27/06/22",4,2.4481500702262,1.84905660377358,14
"toledo","forest","control",2022,"pf1_Q22-C bosque T8 pf1 22-27/06/22","Q22-C bosque T8 pf1 22-27/06/22",6,3.73620890662734,3,30
"toledo","forest","control",2022,"pf2_Q22-C bosque T6 pf2 22-27/06/22","Q22-C bosque T6 pf2 22-27/06/22",5,3.43520132821041,2.63087248322148,28
"toledo","forest","control",2022,"pf2_Q22-C bosque T8 pf2 22-27/06/22","Q22-C bosque T8 pf2 22-27/06/22",6,4.70419108713781,4.07042253521127,17
"toledo","forest","control",2022,"pf3_Q22-C bosque T6 pf3 22-27/06/22","Q22-C bosque T6 pf3 22-27/06/22",5,4.3634455036825,4.16017316017316,31
"toledo","forest","control",2022,"pf3_Q22-C bosque T8 pf3 22-27/06/22","Q22-C bosque T8 pf3 22-27/06/22",5,4.58575641234582,4.26315789473684,9
"toledo","forest","high",2021,"pf1_Q-dB-Bosque T12 pf1 22-27.vi-21","Q-dB-Bosque T12 pf1 22-27.vi-21",6,4.92593669483027,4.15384615384615,18
"toledo","forest","high",2021,"pf1_Q-dB-Bosque T14 pf1 22-27.vi-21","Q-dB-Bosque T14 pf1 22-27.vi-21",7,4.51134388530794,3.08219178082192,15
"toledo","forest","high",2021,"pf2_Q-dB-Bosque T12 pf2 22-27.vi-21","Q-dB-Bosque T12 pf2 22-27.vi-21",12,9.59076355537795,8.36318407960199,41
"toledo","forest","high",2021,"pf2_Q-dB-Bosque T14 pf2 22-27.vi-21","Q-dB-Bosque T14 pf2 22-27.vi-21",8,5.43265446122709,4.40890688259109,33
"toledo","forest","high",2021,"pf3_Q-dB-Bosque T12 pf3 22-27.vi-21","Q-dB-Bosque T12 pf3 22-27.vi-21",9,6.03522507393583,4.75285171102662,50
"toledo","forest","high",2021,"pf3_Q-dB-Bosque T14 pf3 22-27.vi-21","Q-dB-Bosque T14 pf3 22-27.vi-21",5,2.34617608400508,1.84346959122632,43
"toledo","forest","hyper",2021,"pf1_Q-dA-Bosque T16 pf1 22-27.vi-21","Q-dA-Bosque T16 pf1 22-27.vi-21",9,7.16036900362247,6.17094017094017,38
"toledo","forest","hyper",2021,"pf1_Q-dA-Bosque T66 pf1 22-27.vi-21","Q-dA-Bosque T66 pf1 22-27.vi-21",6,4.75548726214048,4.14441416893733,39
"toledo","forest","hyper",2021,"pf2_Q-dA-Bosque T16 pf2 22-27.vi-21","Q-dA-Bosque T16 pf2 22-27.vi-21",9,6.60744485996927,5.23255813953488,30
"toledo","forest","hyper",2021,"pf2_Q-dA-Bosque T66 pf2 22-27.vi-21","Q-dA-Bosque T66 pf2 22-27.vi-21",6,3.43404207592929,2.38378378378378,21
"toledo","forest","hyper",2021,"pf3_Q-dA-Bosque T16 pf3 22-27.vi-21","Q-dA-Bosque T16 pf3 22-27.vi-21",7,3.56388133300613,2.4139650872818,44
"toledo","forest","hyper",2021,"pf3_Q-dA-Bosque T66 pf3 22-27.vi-21","Q-dA-Bosque T66 pf3 22-27.vi-21",7,5.60350170073035,4.73770491803279,17
"toledo","scrub","control",2021,"pf1_Q-C pf1 22-27.vi.21","Q-C pf1 22-27.vi.21",7,5.03496087174372,4.10077519379845,23
"toledo","scrub","control",2021,"pf10_Q-C pf10 22-27.vi.21","Q-C pf10 22-27.vi.21",8,5.43789104819569,4.65137614678899,39
"toledo","scrub","control",2021,"pf11_Q-C pf11 22-27.vi.21","Q-C pf11 22-27.vi.21",8,5.51776307901167,4.24528301886792,30
"toledo","scrub","control",2021,"pf12_Q-C pf12 22-27.vi.21","Q-C pf12 22-27.vi.21",7,4.21275346073821,3.53536452665941,57
"toledo","scrub","control",2021,"pf2_Q-C pf2 22-27.vi.21","Q-C pf2 22-27.vi.21",9,6.77251495867231,5.64516129032258,35
"toledo","scrub","control",2021,"pf3_Q-C pf3 22-27.vi.21","Q-C pf3 22-27.vi.21",5,2.97263832403324,2.23948811700183,35
"toledo","scrub","control",2021,"pf4_Q-C pf4 22-27.vi.21","Q-C pf4 22-27.vi.21",9,6.22002804523102,4.89855072463768,26
"toledo","scrub","control",2021,"pf5_Q-C pf5 22-27.vi.21","Q-C pf5 22-27.vi.21",8,5.3751041593502,3.84126984126984,22
"toledo","scrub","control",2021,"pf6_Q-C pf6 22-27.vi.21","Q-C pf6 22-27.vi.21",9,7.06292013564109,5.99139414802065,59
"toledo","scrub","control",2021,"pf7_Q-C pf7 22-27.vi.21","Q-C pf7 22-27.vi.21",10,3.32639593063981,2.05547652916074,85
"toledo","scrub","control",2021,"pf8_Q-C pf8 22-27.vi.21","Q-C pf8 22-27.vi.21",9,6.89420173610997,5.54251012145749,37
"toledo","scrub","control",2021,"pf9_Q-C pf9 22-27.vi.21","Q-C pf9 22-27.vi.21",6,3.71192313973885,3.11881188118812,105
"toledo","scrub","control",2022,"pf1_Q22-C pf1 22-27/06/2022","Q22-C pf1 22-27/06/2022",7,5.71716450774156,4.93877551020408,22
"toledo","scrub","control",2022,"pf10_Q22-C pf10 22-27/06/2022","Q22-C pf10 22-27/06/2022",7,4.37945145806721,3.6734693877551,60
"toledo","scrub","control",2022,"pf11_Q22-C pf11 22-27/06/2022","Q22-C pf11 22-27/06/2022",7,3.29734703369027,2.43362831858407,55
"toledo","scrub","control",2022,"pf12_Q22-C pf12 22-27/06/2022","Q22-C pf12 22-27/06/2022",7,3.24836577302746,2.57398212512413,72
"toledo","scrub","control",2022,"pf2_Q22-C pf2 22-27/06/2022","Q22-C pf2 22-27/06/2022",9,6.92601621439875,5.96891191709845,48
"toledo","scrub","control",2022,"pf3_Q22-C pf3 22-27/06/2022","Q22-C pf3 22-27/06/2022",7,6.11820357851722,5.62637362637363,32
"toledo","scrub","control",2022,"pf4_Q22-C pf4 22-27/06/2022","Q22-C pf4 22-27/06/2022",7,4.08450263186149,2.97551020408163,27
"toledo","scrub","control",2022,"pf5_Q22-C pf5 22-27/06/2022","Q22-C pf5 22-27/06/2022",9,6.38955876805538,5.19480519480519,40
"toledo","scrub","control",2022,"pf6_Q22-C pf6 22-27/06/2022","Q22-C pf6 22-27/06/2022",7,4.89325111261099,3.97546012269939,36
"toledo","scrub","control",2022,"pf7_Q22-C pf7 22-27/06/2022","Q22-C pf7 22-27/06/2022",7,4.37387366253709,3.43506493506493,46
"toledo","scrub","control",2022,"pf8_Q22-C pf8 22-27/06/2022","Q22-C pf8 22-27/06/2022",9,4.28836188538201,2.95532390171258,63
"toledo","scrub","control",2022,"pf9_Q22-C pf9 22-27/06/2022","Q22-C pf9 22-27/06/2022",5,3.89706784145305,3.58277094084954,95
"toledo","scrub","high",2021,"pf1_Q-dB pf1 22-27.vi-21","Q-dB pf1 22-27.vi-21",9,6.37235778100806,5.24703087885986,47
"toledo","scrub","high",2021,"pf10_Q-dB pf10 22-27.vi-21","Q-dB pf10 22-27.vi-21",6,4.98991820193653,4.51173708920188,31
"toledo","scrub","high",2021,"pf11_Q-dB pf11 22-27.vi-21","Q-dB pf11 22-27.vi-21",12,8.92466823482822,7.24699828473413,65
"toledo","scrub","high",2021,"pf12_Q-dB pf12 22-27.vi-21","Q-dB pf12 22-27.vi-21",7,3.27570465797067,2.4638783269962,36
"toledo","scrub","high",2021,"pf2_Q-dB pf2 22-27.vi-21","Q-dB pf2 22-27.vi-21",7,4.78280198770833,4.06349206349206,32
"toledo","scrub","high",2021,"pf3_Q-dB pf3 22-27.vi-21","Q-dB pf3 22-27.vi-21",8,5.3602242609455,4.27058823529412,33
"toledo","scrub","high",2021,"pf4_Q-dB pf4 22-27.vi-21","Q-dB pf4 22-27.vi-21",6,3.9857394730265,3.27027027027027,33
"toledo","scrub","high",2021,"pf5_Q-dB pf5 22-27.vi-21","Q-dB pf5 22-27.vi-21",8,5.21894226249836,3.94520547945205,24
"toledo","scrub","high",2021,"pf6_Q-dB pf6 22-27.vi-21","Q-dB pf6 22-27.vi-21",8,6.43378684996002,5.73031026252983,49
"toledo","scrub","high",2021,"pf7_Q-dB pf7 22-27.vi-21","Q-dB pf7 22-27.vi-21",10,6.09325745568484,4.7280163599182,68
"toledo","scrub","high",2021,"pf8_Q-dB pf8 22-27.vi-21","Q-dB pf8 22-27.vi-21",6,3.71378777625445,2.92582781456954,47
"toledo","scrub","high",2021,"pf9_Q-dB pf9 22-27.vi-21","Q-dB pf9 22-27.vi-21",13,7.7603017646444,5.61386138613861,63
"toledo","scrub","high",2022,"pf1_Q-dB T12 pf1 22-27/06/2022","Q-dB T12 pf1 22-27/06/2022",5,2.74777621709612,2.10291858678955,37
"toledo","scrub","high",2022,"pf1_Q-dB T14 pf1 22-27/06/2022","Q-dB T14 pf1 22-27/06/2022",4,3.70907929775537,3.52173913043478,9
"toledo","scrub","high",2022,"pf1_Q-dB pf1 22-27/06/2022","Q-dB pf1 22-27/06/2022",6,5.05315068075891,4.40890688259109,33
"toledo","scrub","high",2022,"pf10_Q-dB pf10 22-27/06/2022","Q-dB pf10 22-27/06/2022",9,6.50219579621394,5.64263322884013,60
"toledo","scrub","high",2022,"pf11_Q-dB pf11 22-27/06/2022","Q-dB pf11 22-27/06/2022",10,7.108664603568,5.8695652173913,45
"toledo","scrub","high",2022,"pf12_Q-dB pf12 22-27/06/2022","Q-dB pf12 22-27/06/2022",10,5.84227386089974,4.33928571428571,54
"toledo","scrub","high",2022,"pf2_Q-dB T12 pf2 22-27/06/2022","Q-dB T12 pf2 22-27/06/2022",8,5.65103591327114,4.78145695364238,38
"toledo","scrub","high",2022,"pf2_Q-dB T14 pf2 22-27/06/2022","Q-dB T14 pf2 22-27/06/2022",5,2.10800113812489,1.50892857142857,26
"toledo","scrub","high",2022,"pf2_Q-dB pf2 22-27/06/2022","Q-dB pf2 22-27/06/2022",7,3.60968394404626,2.79696132596685,90
"toledo","scrub","high",2022,"pf3_Q-dB T12 pf3 22-27/06/2022","Q-dB T12 pf3 22-27/06/2022",8,5.65739396881286,4.54817275747508,37
"toledo","scrub","high",2022,"pf3_Q-dB T14 pf3 22-27/06/2022","Q-dB T14 pf3 22-27/06/2022",6,3.90495498750532,3.1025641025641,22
"toledo","scrub","high",2022,"pf3_Q-dB pf3 22-27/06/2022","Q-dB pf3 22-27/06/2022",5,3.8081570190484,3.31192660550459,19
"toledo","scrub","high",2022,"pf4_Q-dB pf4 22-27/06/2022","Q-dB pf4 22-27/06/2022",3,2.24612267293448,1.99447513812155,19
"toledo","scrub","high",2022,"pf5_Q-dB pf5 22-27/06/2022","Q-dB pf5 22-27/06/2022",9,4.99840309844869,4.00770416024653,51
"toledo","scrub","high",2022,"pf6_Q-dB pf6 22-27/06/2022","Q-dB pf6 22-27/06/2022",7,4.34405124516363,3.28506787330317,66
"toledo","scrub","high",2022,"pf7_Q-dB pf7 22-27/06/2022","Q-dB pf7 22-27/06/2022",7,5.0082541134361,4.11864406779661,27
"toledo","scrub","high",2022,"pf8_Q-dB pf8 22-27/06/2022","Q-dB pf8 22-27/06/2022",9,1.84951305909128,1.33244717599527,491
"toledo","scrub","high",2022,"pf9_Q-dB pf9 22-27/06/2022","Q-dB pf9 22-27/06/2022",7,5.04964857276833,4.0131926121372,39
"toledo","scrub","hyper",2021,"pf1_Q-dA pf1 22-27.vi.21","Q-dA pf1 22-27.vi.21",8,5.30361729134404,4.43349753694581,60
"toledo","scrub","hyper",2021,"pf10_Q-dA pf10 22-27.vi.21","Q-dA pf10 22-27.vi.21",7,4.09037687954231,3.25492468134415,53
"toledo","scrub","hyper",2021,"pf11_Q-dA pf11 22-27.vi.21","Q-dA pf11 22-27.vi.21",9,3.01283093071119,1.99770694794772,132
"toledo","scrub","hyper",2021,"pf12_Q-dA pf12 22-27.vi.21","Q-dA pf12 22-27.vi.21",8,3.68796607895124,2.7,108
"toledo","scrub","hyper",2021,"pf2_Q-dA pf2 22-27.vi.21","Q-dA pf2 22-27.vi.21",8,4.48783681545559,3.37459131247081,85
"toledo","scrub","hyper",2021,"pf3_Q-dA pf3 22-27.vi.21","Q-dA pf3 22-27.vi.21",9,4.72333484754477,3.53403141361257,90
"toledo","scrub","hyper",2021,"pf4_Q-dA pf4 22-27.vi.21","Q-dA pf4 22-27.vi.21",8,5.27495194145269,4.45679012345679,95
"toledo","scrub","hyper",2021,"pf5_Q-dA pf5 22-27.vi.21","Q-dA pf5 22-27.vi.21",4,2.91034451421601,2.48679678530425,114
"toledo","scrub","hyper",2021,"pf6_Q-dA pf6 22-27.vi.21","Q-dA pf6 22-27.vi.21",7,4.08668535143319,3.12704523580366,57
"toledo","scrub","hyper",2021,"pf7_Q-dA pf7 22-27.vi.21","Q-dA pf7 22-27.vi.21",7,3.93344604921788,2.73448546739984,59
"toledo","scrub","hyper",2021,"pf8_Q-dA pf8 22-27.vi.21","Q-dA pf8 22-27.vi.21",9,5.11617929722111,4.01578393546124,107
"toledo","scrub","hyper",2021,"pf9_Q-dA pf9 22-27.vi.21","Q-dA pf9 22-27.vi.21",10,4.94053018857158,3.68152031454784,53
"toledo","scrub","hyper",2022,"pf1_Q-dA T16 pf1 22-27/06/2022","Q-dA T16 pf1 22-27/06/2022",10,7.547216690143,6.01657458563536,33
"toledo","scrub","hyper",2022,"pf1_Q-dA T66 pf1 22-27/06/2022","Q-dA T66 pf1 22-27/06/2022",6,3.17572265210547,2.37241670181358,75
"toledo","scrub","hyper",2022,"pf1_Q-dA pf1 22-27/06/2022","Q-dA pf1 22-27/06/2022",6,3.76157847375591,3.21792114695341,67
"toledo","scrub","hyper",2022,"pf10_Q-dA pf10 22-27/06/2022","Q-dA pf10 22-27/06/2022",8,3.55754267751111,2.5463976945245,94
"toledo","scrub","hyper",2022,"pf11_Q-dA pf11 22-27/06/2022","Q-dA pf11 22-27/06/2022",10,6.6934212564978,5.46772228989038,67
"toledo","scrub","hyper",2022,"pf12_Q-dA pf12 22-27/06/2022","Q-dA pf12 22-27/06/2022",8,5.68054396002463,4.84173778122576,79
"toledo","scrub","hyper",2022,"pf2_Q-dA T16 pf2 22-27/06/2022","Q-dA T16 pf2 22-27/06/2022",6,3.89792225942651,3.04210526315789,34
"toledo","scrub","hyper",2022,"pf2_Q-dA T66 pf2 22-27/06/2022","Q-dA T66 pf2 22-27/06/2022",7,4.66282518629216,3.63440860215054,26
"toledo","scrub","hyper",2022,"pf2_Q-dA pf2 22-27/06/2022","Q-dA pf2 22-27/06/2022",7,3.96158369329073,2.75598086124402,48
"toledo","scrub","hyper",2022,"pf3_Q-dA T16 pf3 22-27/06/2022","Q-dA T16 pf3 22-27/06/2022",5,3.51216778472947,3.05083260297984,59
"toledo","scrub","hyper",2022,"pf3_Q-dA T66 pf3 22-27/06/2022","Q-dA T66 pf3 22-27/06/2022",10,5.45182749158811,3.36363636363636,37
"toledo","scrub","hyper",2022,"pf3_Q-dA pf3 22-27/06/2022","Q-dA pf3 22-27/06/2022",10,6.89147823535009,5.66480446927374,78
"toledo","scrub","hyper",2022,"pf4_Q-dA pf4 22-27/06/2022","Q-dA pf4 22-27/06/2022",6,4.7369259854677,4.00367647058824,66
